Sample Number,Parameter Values,Tumor Reduction,Reason For Rejection,Rejection Category
871,"{""drug_diffusion"": 5.002140856665041e-09, ""drug_efficacy"": 0.33083217324550523, ""drug_loading"": 0.9757584591665596, ""np_diffusion"": 4.928497267717196e-09, ""particle_size_nm"": 41.25057618082157, ""release_rate"": 0.021325627395601253, ""tumor_growth_rate"": 0.04481615699152139, ""uptake_rate"": 0.09587316953554707}",-1019.20932046,final tumor volume exceeds the initial tumor volume.,Treatment failure
872,"{""drug_diffusion"": 9.072913521429638e-09, ""drug_efficacy"": 0.4775257846175043, ""drug_loading"": 0.2969159203927687, ""np_diffusion"": 8.480333065167238e-09, ""particle_size_nm"": 166.93731809893035, ""release_rate"": 0.09328069562340156, ""tumor_growth_rate"": 0.04760804428174084, ""uptake_rate"": 0.040077818359413764}",-334.258779249,final tumor volume exceeds the initial tumor volume.,Treatment failure
877,"{""drug_diffusion"": 1.627807106297664e-10, ""drug_efficacy"": 0.7824005209341409, ""drug_loading"": 0.4930679222685517, ""np_diffusion"": 1.449171261717489e-09, ""particle_size_nm"": 190.11462731604263, ""release_rate"": 0.012686575234259714, ""tumor_growth_rate"": 0.041994799526520965, ""uptake_rate"": 0.04486261155708146}",-556.763585246,final tumor volume exceeds the initial tumor volume.,Treatment failure
883,"{""drug_diffusion"": 3.5528828723464867e-10, ""drug_efficacy"": 0.6282963735123324, ""drug_loading"": 0.4316496330538946, ""np_diffusion"": 4.743618379761422e-09, ""particle_size_nm"": 141.5471655857191, ""release_rate"": 0.11355503675853552, ""tumor_growth_rate"": 0.04743641103467112, ""uptake_rate"": 0.08294847224511102}",-122.990463746,final tumor volume exceeds the initial tumor volume.,Treatment failure
887,"{""drug_diffusion"": 1.5672213482606175e-09, ""drug_efficacy"": 0.3293634216949689, ""drug_loading"": 0.6997093418944563, ""np_diffusion"": 7.375901859244935e-09, ""particle_size_nm"": 60.37926963390034, ""release_rate"": 0.08975577247918026, ""tumor_growth_rate"": 0.04482899782038986, ""uptake_rate"": 0.04415800213682638}",-556.776398915,final tumor volume exceeds the initial tumor volume.,Treatment failure
890,"{""drug_diffusion"": 1.946462359087197e-09, ""drug_efficacy"": 0.4654426540440379, ""drug_loading"": 0.7564401144075574, ""np_diffusion"": 6.346925282704231e-09, ""particle_size_nm"": 186.15267694154826, ""release_rate"": 0.15566263457083118, ""tumor_growth_rate"": 0.04862811964808539, ""uptake_rate"": 0.048991661993406634}",-338.924444274,final tumor volume exceeds the initial tumor volume.,Treatment failure
891,"{""drug_diffusion"": 8.785589206722117e-10, ""drug_efficacy"": 0.39121692339223096, ""drug_loading"": 0.2020335941835504, ""np_diffusion"": 6.7726888508035255e-09, ""particle_size_nm"": 147.0692412982196, ""release_rate"": 0.1518756141879325, ""tumor_growth_rate"": 0.028078381205501518, ""uptake_rate"": 0.010273057125180262}",-37.6333364915,final tumor volume exceeds the initial tumor volume.,Treatment failure
892,"{""drug_diffusion"": 2.5337159534247463e-09, ""drug_efficacy"": 0.43866698223487954, ""drug_loading"": 0.9424953915907637, ""np_diffusion"": 4.782709750724885e-09, ""particle_size_nm"": 25.786266724165113, ""release_rate"": 0.1101972391872469, ""tumor_growth_rate"": 0.04120519932284837, ""uptake_rate"": 0.09638631493105974}",-238.088870986,final tumor volume exceeds the initial tumor volume.,Treatment failure
893,"{""drug_diffusion"": 5.577222117044038e-09, ""drug_efficacy"": 0.35300908406890374, ""drug_loading"": 0.4079395633640796, ""np_diffusion"": 7.549353066805357e-09, ""particle_size_nm"": 75.44479608366217, ""release_rate"": 0.15693193433138056, ""tumor_growth_rate"": 0.03294429075800846, ""uptake_rate"": 0.07708799063878824}",-159.063369102,final tumor volume exceeds the initial tumor volume.,Treatment failure
895,"{""drug_diffusion"": 3.921217278768551e-09, ""drug_efficacy"": 0.9674844832794192, ""drug_loading"": 0.8339815462934645, ""np_diffusion"": 6.230604381897064e-09, ""particle_size_nm"": 61.950473422210294, ""release_rate"": 0.012778897935069571, ""tumor_growth_rate"": 0.02450630459816093, ""uptake_rate"": 0.062156726265052246}",-23.9089089696,final tumor volume exceeds the initial tumor volume.,Treatment failure
896,"{""drug_diffusion"": 3.601110102548743e-09, ""drug_efficacy"": 0.3273103952523186, ""drug_loading"": 0.2640628893344442, ""np_diffusion"": 9.72157997334513e-09, ""particle_size_nm"": 149.90998135214807, ""release_rate"": 0.07220447085372175, ""tumor_growth_rate"": 0.02803363469981706, ""uptake_rate"": 0.0683125937065404}",-140.382094986,final tumor volume exceeds the initial tumor volume.,Treatment failure
900,"{""drug_diffusion"": 7.284407940325313e-10, ""drug_efficacy"": 0.6507123077830694, ""drug_loading"": 0.5816147303735716, ""np_diffusion"": 6.806227095260268e-09, ""particle_size_nm"": 76.09203906306573, ""release_rate"": 0.044006282151524315, ""tumor_growth_rate"": 0.04645031289313547, ""uptake_rate"": 0.09799982174762793}",-295.725888527,final tumor volume exceeds the initial tumor volume.,Treatment failure
903,"{""drug_diffusion"": 5.809494050489084e-09, ""drug_efficacy"": 0.4648493219922304, ""drug_loading"": 0.8931286005750319, ""np_diffusion"": 9.487351597284552e-09, ""particle_size_nm"": 191.5337508012501, ""release_rate"": 0.045566056010975055, ""tumor_growth_rate"": 0.041284582586079935, ""uptake_rate"": 0.08116365371061265}",-382.800879934,final tumor volume exceeds the initial tumor volume.,Treatment failure
904,"{""drug_diffusion"": 2.9111896665824774e-09, ""drug_efficacy"": 0.8267716404137664, ""drug_loading"": 0.6951907836761089, ""np_diffusion"": 9.352377084529384e-09, ""particle_size_nm"": 151.52648984095205, ""release_rate"": 0.026354590466810032, ""tumor_growth_rate"": 0.038485207359319255, ""uptake_rate"": 0.06502831606359052}",-153.641725615,final tumor volume exceeds the initial tumor volume.,Treatment failure
906,"{""drug_diffusion"": 7.071193383973848e-09, ""drug_efficacy"": 0.6211407820646662, ""drug_loading"": 0.7976072478544265, ""np_diffusion"": 5.272317432614703e-09, ""particle_size_nm"": 197.96364653826498, ""release_rate"": 0.12519956843297458, ""tumor_growth_rate"": 0.04567462953747157, ""uptake_rate"": 0.08184852984759407}",-96.2779994105,final tumor volume exceeds the initial tumor volume.,Treatment failure
907,"{""drug_diffusion"": 9.093371396824492e-09, ""drug_efficacy"": 0.3670435058423455, ""drug_loading"": 0.8842909552920055, ""np_diffusion"": 7.403589701437553e-09, ""particle_size_nm"": 47.2880406553744, ""release_rate"": 0.19105413553165068, ""tumor_growth_rate"": 0.028608362346725077, ""uptake_rate"": 0.0579029178332347}",-66.1379095913,final tumor volume exceeds the initial tumor volume.,Treatment failure
909,"{""drug_diffusion"": 8.208545130928865e-09, ""drug_efficacy"": 0.3633848145057067, ""drug_loading"": 0.9463566301598652, ""np_diffusion"": 9.630353446177076e-10, ""particle_size_nm"": 183.37400036114846, ""release_rate"": 0.05011464473256589, ""tumor_growth_rate"": 0.023029614352219653, ""uptake_rate"": 0.08234570270188431}",-78.3286869998,final tumor volume exceeds the initial tumor volume.,Treatment failure
913,"{""drug_diffusion"": 9.895620040539514e-09, ""drug_efficacy"": 0.34082807105662577, ""drug_loading"": 0.23647258489670256, ""np_diffusion"": 2.7721070720492165e-09, ""particle_size_nm"": 58.91797740117804, ""release_rate"": 0.1120682429583079, ""tumor_growth_rate"": 0.029104425917586565, ""uptake_rate"": 0.08836613329273078}",-118.870398383,final tumor volume exceeds the initial tumor volume.,Treatment failure
915,"{""drug_diffusion"": 6.977373761892733e-09, ""drug_efficacy"": 0.37864626765184695, ""drug_loading"": 0.24232426224789466, ""np_diffusion"": 3.668804824496986e-10, ""particle_size_nm"": 159.8707123169914, ""release_rate"": 0.11186399652005474, ""tumor_growth_rate"": 0.041155134831765555, ""uptake_rate"": 0.05956152770985559}",-335.849919484,final tumor volume exceeds the initial tumor volume.,Treatment failure
916,"{""drug_diffusion"": 4.930323127856818e-09, ""drug_efficacy"": 0.38983525106260386, ""drug_loading"": 0.899201679909936, ""np_diffusion"": 1.4246595604130167e-09, ""particle_size_nm"": 119.92426601365644, ""release_rate"": 0.09727730639996875, ""tumor_growth_rate"": 0.03672974704659991, ""uptake_rate"": 0.015503886386907136}",-217.819143022,final tumor volume exceeds the initial tumor volume.,Treatment failure
917,"{""drug_diffusion"": 6.459199257808656e-09, ""drug_efficacy"": 0.45696729146706583, ""drug_loading"": 0.7112631018825966, ""np_diffusion"": 3.020706042616923e-10, ""particle_size_nm"": 191.2769745287398, ""release_rate"": 0.16892591891786277, ""tumor_growth_rate"": 0.03143411814403162, ""uptake_rate"": 0.07415802236204111}",-37.3570638261,final tumor volume exceeds the initial tumor volume.,Treatment failure
918,"{""drug_diffusion"": 3.5325387023707037e-09, ""drug_efficacy"": 0.7639006327575152, ""drug_loading"": 0.9885527476278677, ""np_diffusion"": 8.28654719194281e-09, ""particle_size_nm"": 101.52399837707506, ""release_rate"": 0.13178509213602665, ""tumor_growth_rate"": 0.04991310352671445, ""uptake_rate"": 0.07578633821387372}",-32.6847757386,final tumor volume exceeds the initial tumor volume.,Treatment failure
921,"{""drug_diffusion"": 5.215235553153952e-09, ""drug_efficacy"": 0.7043598221678944, ""drug_loading"": 0.9876498530250921, ""np_diffusion"": 9.087945886528145e-09, ""particle_size_nm"": 193.52651493338138, ""release_rate"": 0.038477730752431306, ""tumor_growth_rate"": 0.04106586345463908, ""uptake_rate"": 0.043209847936462896}",-156.020039351,final tumor volume exceeds the initial tumor volume.,Treatment failure
926,"{""drug_diffusion"": 1.55937586385735e-09, ""drug_efficacy"": 0.47774607194111807, ""drug_loading"": 0.20497160239615436, ""np_diffusion"": 4.6715614972156245e-09, ""particle_size_nm"": 87.19442464641331, ""release_rate"": 0.10146462525506716, ""tumor_growth_rate"": 0.044678002938820016, ""uptake_rate"": 0.05813441601111835}",-264.83600352,final tumor volume exceeds the initial tumor volume.,Treatment failure
927,"{""drug_diffusion"": 3.3806003639387416e-10, ""drug_efficacy"": 0.3190105101275766, ""drug_loading"": 0.48306369313331676, ""np_diffusion"": 1.9754660789281103e-09, ""particle_size_nm"": 116.21493028842933, ""release_rate"": 0.07310939942402038, ""tumor_growth_rate"": 0.037677055993888424, ""uptake_rate"": 0.047984965857230374}",-397.594945419,final tumor volume exceeds the initial tumor volume.,Treatment failure
928,"{""drug_diffusion"": 6.8943836245886305e-09, ""drug_efficacy"": 0.41248892602449205, ""drug_loading"": 0.8306486844355823, ""np_diffusion"": 9.316238646169526e-09, ""particle_size_nm"": 70.80020605353187, ""release_rate"": 0.17920166737887075, ""tumor_growth_rate"": 0.045447879536855716, ""uptake_rate"": 0.026408999759184426}",-331.978857236,final tumor volume exceeds the initial tumor volume.,Treatment failure
929,"{""drug_diffusion"": 7.77984166123177e-09, ""drug_efficacy"": 0.5921514578039857, ""drug_loading"": 0.9079392742544676, ""np_diffusion"": 4.855317845150848e-10, ""particle_size_nm"": 41.9315372918094, ""release_rate"": 0.053936702490002604, ""tumor_growth_rate"": 0.04443895692354047, ""uptake_rate"": 0.03993491027403279}",-252.220619276,final tumor volume exceeds the initial tumor volume.,Treatment failure
930,"{""drug_diffusion"": 8.554138568536651e-09, ""drug_efficacy"": 0.37110528829145706, ""drug_loading"": 0.5884890869342523, ""np_diffusion"": 8.393098420026916e-09, ""particle_size_nm"": 85.35670875972738, ""release_rate"": 0.13082968635633507, ""tumor_growth_rate"": 0.02293369518442035, ""uptake_rate"": 0.09526445817765228}",-7.13494650567,final tumor volume exceeds the initial tumor volume.,Treatment failure
936,"{""drug_diffusion"": 6.715539238632976e-09, ""drug_efficacy"": 0.5364928139987701, ""drug_loading"": 0.7076456030547231, ""np_diffusion"": 5.3671186066046235e-09, ""particle_size_nm"": 66.02470773147424, ""release_rate"": 0.19241420751030996, ""tumor_growth_rate"": 0.03898475700721409, ""uptake_rate"": 0.09705325129694167}",-62.360036524,final tumor volume exceeds the initial tumor volume.,Treatment failure
938,"{""drug_diffusion"": 3.1797885389870776e-09, ""drug_efficacy"": 0.620287642639787, ""drug_loading"": 0.8179107458960859, ""np_diffusion"": 4.698829111935278e-09, ""particle_size_nm"": 131.74999137431638, ""release_rate"": 0.18445905952704011, ""tumor_growth_rate"": 0.04548510724675974, ""uptake_rate"": 0.09535009089492866}",-77.7805423253,final tumor volume exceeds the initial tumor volume.,Treatment failure
941,"{""drug_diffusion"": 1.1471692126519157e-09, ""drug_efficacy"": 0.5348048811906553, ""drug_loading"": 0.46910115490774423, ""np_diffusion"": 3.13510239087136e-09, ""particle_size_nm"": 50.28707262290355, ""release_rate"": 0.0655550942746956, ""tumor_growth_rate"": 0.04273241614084353, ""uptake_rate"": 0.025853770489558996}",-213.878212882,final tumor volume exceeds the initial tumor volume.,Treatment failure
944,"{""drug_diffusion"": 7.446981983449552e-10, ""drug_efficacy"": 0.6005034752032796, ""drug_loading"": 0.7961299132110708, ""np_diffusion"": 2.916108143662751e-09, ""particle_size_nm"": 125.41036265725504, ""release_rate"": 0.04977173114509596, ""tumor_growth_rate"": 0.04407474394918355, ""uptake_rate"": 0.018620783874627397}",-242.070727336,final tumor volume exceeds the initial tumor volume.,Treatment failure
947,"{""drug_diffusion"": 8.816512956465558e-09, ""drug_efficacy"": 0.3331595316884759, ""drug_loading"": 0.39133709754925405, ""np_diffusion"": 5.195132155064296e-09, ""particle_size_nm"": 100.62127975473453, ""release_rate"": 0.11550999819218086, ""tumor_growth_rate"": 0.043041603588758505, ""uptake_rate"": 0.07702731331321573}",-472.574309231,final tumor volume exceeds the initial tumor volume.,Treatment failure
948,"{""drug_diffusion"": 4.434860608587489e-09, ""drug_efficacy"": 0.5474591119575751, ""drug_loading"": 0.48693702050027554, ""np_diffusion"": 6.3100232200411055e-09, ""particle_size_nm"": 59.78335823914955, ""release_rate"": 0.057070010705600936, ""tumor_growth_rate"": 0.044873980715415804, ""uptake_rate"": 0.01082288459050075}",-255.408021503,final tumor volume exceeds the initial tumor volume.,Treatment failure
950,"{""drug_diffusion"": 8.48288247257587e-09, ""drug_efficacy"": 0.6532880227258369, ""drug_loading"": 0.25481497584312135, ""np_diffusion"": 1.3887222907651617e-09, ""particle_size_nm"": 73.75908557272626, ""release_rate"": 0.17456283135622525, ""tumor_growth_rate"": 0.04113811243282409, ""uptake_rate"": 0.017665612441913996}",-8.43150857605,final tumor volume exceeds the initial tumor volume.,Treatment failure
952,"{""drug_diffusion"": 5.86483754359478e-09, ""drug_efficacy"": 0.5705790712994085, ""drug_loading"": 0.9841946485133943, ""np_diffusion"": 7.182119859551766e-09, ""particle_size_nm"": 44.80312722004061, ""release_rate"": 0.08887194936866442, ""tumor_growth_rate"": 0.049247826684647285, ""uptake_rate"": 0.05051986311234675}",-243.910156389,final tumor volume exceeds the initial tumor volume.,Treatment failure
953,"{""drug_diffusion"": 8.416178134798543e-09, ""drug_efficacy"": 0.6536993718809019, ""drug_loading"": 0.4852192526052538, ""np_diffusion"": 5.959899692557877e-09, ""particle_size_nm"": 132.23692010121448, ""release_rate"": 0.01696332376035372, ""tumor_growth_rate"": 0.02646167014913918, ""uptake_rate"": 0.035071983715716376}",-121.997532874,final tumor volume exceeds the initial tumor volume.,Treatment failure
957,"{""drug_diffusion"": 1.3160244167343464e-09, ""drug_efficacy"": 0.5465747986759536, ""drug_loading"": 0.706512696225984, ""np_diffusion"": 4.32170964258759e-09, ""particle_size_nm"": 32.329740959784864, ""release_rate"": 0.16951186939319207, ""tumor_growth_rate"": 0.04920341498263076, ""uptake_rate"": 0.02504586439716202}",-217.414409397,final tumor volume exceeds the initial tumor volume.,Treatment failure
959,"{""drug_diffusion"": 9.874099184157517e-09, ""drug_efficacy"": 0.3230244501527348, ""drug_loading"": 0.665186997081354, ""np_diffusion"": 2.363747863793022e-09, ""particle_size_nm"": 191.17650103711458, ""release_rate"": 0.10523789578190387, ""tumor_growth_rate"": 0.04504460648465145, ""uptake_rate"": 0.07746517968721739}",-570.533903843,final tumor volume exceeds the initial tumor volume.,Treatment failure
964,"{""drug_diffusion"": 6.121920866245781e-09, ""drug_efficacy"": 0.41291152377013374, ""drug_loading"": 0.6568688647871466, ""np_diffusion"": 9.744366417364627e-09, ""particle_size_nm"": 127.33909018313942, ""release_rate"": 0.03731008129470928, ""tumor_growth_rate"": 0.047152685065214604, ""uptake_rate"": 0.037002598548469816}",-710.837142487,final tumor volume exceeds the initial tumor volume.,Treatment failure
966,"{""drug_diffusion"": 7.287499198295592e-09, ""drug_efficacy"": 0.30529786188879726, ""drug_loading"": 0.5419765037113058, ""np_diffusion"": 3.7097075740399986e-09, ""particle_size_nm"": 109.74178465957739, ""release_rate"": 0.03158473610233108, ""tumor_growth_rate"": 0.035019486878877494, ""uptake_rate"": 0.0955001000004781}",-571.711686681,final tumor volume exceeds the initial tumor volume.,Treatment failure
968,"{""drug_diffusion"": 1.7296509106355827e-09, ""drug_efficacy"": 0.4456201045239102, ""drug_loading"": 0.4865955966570137, ""np_diffusion"": 6.596375136143324e-09, ""particle_size_nm"": 155.3238319835114, ""release_rate"": 0.03026306022408707, ""tumor_growth_rate"": 0.01575732687798496, ""uptake_rate"": 0.09858586778114398}",-5.69311871052,final tumor volume exceeds the initial tumor volume.,Treatment failure
969,"{""drug_diffusion"": 9.030642595625573e-09, ""drug_efficacy"": 0.3015259935351483, ""drug_loading"": 0.835602575357949, ""np_diffusion"": 6.585950617638643e-09, ""particle_size_nm"": 153.27301232978562, ""release_rate"": 0.05278947987233097, ""tumor_growth_rate"": 0.026345322283326082, ""uptake_rate"": 0.09835132763478921}",-180.338155336,final tumor volume exceeds the initial tumor volume.,Treatment failure
970,"{""drug_diffusion"": 9.876061595733293e-09, ""drug_efficacy"": 0.985487116213073, ""drug_loading"": 0.856545698427887, ""np_diffusion"": 4.464626328475708e-09, ""particle_size_nm"": 29.926026458055674, ""release_rate"": 0.012735193637188858, ""tumor_growth_rate"": 0.025648936064287524, ""uptake_rate"": 0.08589220935824214}",-44.4155833883,final tumor volume exceeds the initial tumor volume.,Treatment failure
971,"{""drug_diffusion"": 4.002463616047785e-09, ""drug_efficacy"": 0.37776888291964805, ""drug_loading"": 0.9120548596997495, ""np_diffusion"": 9.60148112096937e-09, ""particle_size_nm"": 144.8283302127822, ""release_rate"": 0.13315773390223348, ""tumor_growth_rate"": 0.04321779271329692, ""uptake_rate"": 0.0718541187742307}",-369.425379654,final tumor volume exceeds the initial tumor volume.,Treatment failure
972,"{""drug_diffusion"": 9.041298435039667e-09, ""drug_efficacy"": 0.7118254578143386, ""drug_loading"": 0.6778842195268862, ""np_diffusion"": 4.058406117269971e-09, ""particle_size_nm"": 90.36099292952288, ""release_rate"": 0.032581211972097616, ""tumor_growth_rate"": 0.045771142858543015, ""uptake_rate"": 0.049928730978305115}",-347.454114812,final tumor volume exceeds the initial tumor volume.,Treatment failure
975,"{""drug_diffusion"": 3.796917882712465e-09, ""drug_efficacy"": 0.46981109695397427, ""drug_loading"": 0.713084293665883, ""np_diffusion"": 4.727563114915752e-09, ""particle_size_nm"": 182.01233200025666, ""release_rate"": 0.17980612363486254, ""tumor_growth_rate"": 0.031215043693514223, ""uptake_rate"": 0.041252138371376965}",-21.4027472175,final tumor volume exceeds the initial tumor volume.,Treatment failure
976,"{""drug_diffusion"": 8.573687608654545e-09, ""drug_efficacy"": 0.6780149962131062, ""drug_loading"": 0.7188894326040793, ""np_diffusion"": 3.142291999884717e-09, ""particle_size_nm"": 121.15420928426767, ""release_rate"": 0.16833265175512488, ""tumor_growth_rate"": 0.046779364797376655, ""uptake_rate"": 0.09475816082290148}",-51.6508139819,final tumor volume exceeds the initial tumor volume.,Treatment failure
979,"{""drug_diffusion"": 3.044860489250006e-09, ""drug_efficacy"": 0.4640509812597835, ""drug_loading"": 0.9370404688959975, ""np_diffusion"": 2.698013840926566e-09, ""particle_size_nm"": 194.67136169505534, ""release_rate"": 0.049033300785211224, ""tumor_growth_rate"": 0.03651729498715519, ""uptake_rate"": 0.07852502017661368}",-248.067942607,final tumor volume exceeds the initial tumor volume.,Treatment failure
983,"{""drug_diffusion"": 3.830662647537823e-10, ""drug_efficacy"": 0.35842916284616866, ""drug_loading"": 0.6545475930020329, ""np_diffusion"": 6.905519294989968e-09, ""particle_size_nm"": 115.38180300994414, ""release_rate"": 0.17979439309049194, ""tumor_growth_rate"": 0.049086593222217444, ""uptake_rate"": 0.05923295871624683}",-564.603754911,final tumor volume exceeds the initial tumor volume.,Treatment failure
984,"{""drug_diffusion"": 7.360020930188038e-09, ""drug_efficacy"": 0.3812983112681317, ""drug_loading"": 0.4470304595087653, ""np_diffusion"": 4.130220543334189e-09, ""particle_size_nm"": 185.080819636469, ""release_rate"": 0.1587943451527318, ""tumor_growth_rate"": 0.030383126520830993, ""uptake_rate"": 0.021553701496630946}",-81.4173061949,final tumor volume exceeds the initial tumor volume.,Treatment failure
985,"{""drug_diffusion"": 4.325740542579353e-09, ""drug_efficacy"": 0.5009897122066237, ""drug_loading"": 0.9372962668067735, ""np_diffusion"": 8.995770604259646e-09, ""particle_size_nm"": 128.83801978429648, ""release_rate"": 0.12660067342664705, ""tumor_growth_rate"": 0.04745109477036862, ""uptake_rate"": 0.013055637875754178}",-243.456360793,final tumor volume exceeds the initial tumor volume.,Treatment failure
987,"{""drug_diffusion"": 6.877691297068873e-09, ""drug_efficacy"": 0.3992333302877518, ""drug_loading"": 0.22175062166532833, ""np_diffusion"": 9.326462208794806e-09, ""particle_size_nm"": 47.329067267198184, ""release_rate"": 0.022491003689388493, ""tumor_growth_rate"": 0.02903796113896223, ""uptake_rate"": 0.02662121883368227}",-288.820840269,final tumor volume exceeds the initial tumor volume.,Treatment failure
992,"{""drug_diffusion"": 2.3348534938060512e-09, ""drug_efficacy"": 0.4336209079844425, ""drug_loading"": 0.9791924525855913, ""np_diffusion"": 7.838698963456363e-09, ""particle_size_nm"": 144.4320606136769, ""release_rate"": 0.0559967141837182, ""tumor_growth_rate"": 0.02704911575348369, ""uptake_rate"": 0.05100990132151206}",-61.6879856048,final tumor volume exceeds the initial tumor volume.,Treatment failure
997,"{""drug_diffusion"": 9.708612650847573e-09, ""drug_efficacy"": 0.5708435753006192, ""drug_loading"": 0.32143490884414605, ""np_diffusion"": 2.3021445423953645e-09, ""particle_size_nm"": 35.89683624194803, ""release_rate"": 0.07323269717539246, ""tumor_growth_rate"": 0.04367868524984197, ""uptake_rate"": 0.02526443517032751}",-171.021967622,final tumor volume exceeds the initial tumor volume.,Treatment failure
999,"{""drug_diffusion"": 8.12022478641766e-09, ""drug_efficacy"": 0.3216863808204315, ""drug_loading"": 0.7823921601026793, ""np_diffusion"": 2.2170441685665826e-09, ""particle_size_nm"": 77.85597163614851, ""release_rate"": 0.02474661072728649, ""tumor_growth_rate"": 0.011311992785055654, ""uptake_rate"": 0.05148917071105342}",-18.4825116112,final tumor volume exceeds the initial tumor volume.,Treatment failure
1000,"{""drug_diffusion"": 1.2654433072120837e-09, ""drug_efficacy"": 0.40557291015153996, ""drug_loading"": 0.40953652658728446, ""np_diffusion"": 2.6865123967461085e-09, ""particle_size_nm"": 193.01296876555784, ""release_rate"": 0.04795966262845938, ""tumor_growth_rate"": 0.035541907850985495, ""uptake_rate"": 0.012274290084922887}",-288.992367652,final tumor volume exceeds the initial tumor volume.,Treatment failure
1001,"{""drug_diffusion"": 1.6880123548799429e-09, ""drug_efficacy"": 0.3176028506700306, ""drug_loading"": 0.5239995229864269, ""np_diffusion"": 3.393198936809529e-10, ""particle_size_nm"": 24.335933649655452, ""release_rate"": 0.03204188762410874, ""tumor_growth_rate"": 0.02567283038607039, ""uptake_rate"": 0.028234603468669753}",-255.39053894,final tumor volume exceeds the initial tumor volume.,Treatment failure
1004,"{""drug_diffusion"": 9.991946758662121e-09, ""drug_efficacy"": 0.8050089177208322, ""drug_loading"": 0.2674959796693306, ""np_diffusion"": 7.754226548447956e-10, ""particle_size_nm"": 198.4016355888905, ""release_rate"": 0.029537043280891184, ""tumor_growth_rate"": 0.04838938134758176, ""uptake_rate"": 0.06639869848898941}",-409.573707807,final tumor volume exceeds the initial tumor volume.,Treatment failure
1006,"{""drug_diffusion"": 1.7797504320381373e-09, ""drug_efficacy"": 0.5254131467774782, ""drug_loading"": 0.20769961624978567, ""np_diffusion"": 9.794735205443763e-09, ""particle_size_nm"": 198.67091512458225, ""release_rate"": 0.17864816526454427, ""tumor_growth_rate"": 0.03520959614050527, ""uptake_rate"": 0.0899419843820116}",-26.5639474201,final tumor volume exceeds the initial tumor volume.,Treatment failure
1009,"{""drug_diffusion"": 9.81034610888495e-09, ""drug_efficacy"": 0.3775955981088234, ""drug_loading"": 0.9450432423388064, ""np_diffusion"": 9.685671932514198e-09, ""particle_size_nm"": 46.52933009737407, ""release_rate"": 0.11244936619797023, ""tumor_growth_rate"": 0.04088101371965393, ""uptake_rate"": 0.08289833809105467}",-321.46581504,final tumor volume exceeds the initial tumor volume.,Treatment failure
1014,"{""drug_diffusion"": 9.778551163510544e-09, ""drug_efficacy"": 0.5359162087559642, ""drug_loading"": 0.5952961417107916, ""np_diffusion"": 9.768367659459559e-09, ""particle_size_nm"": 196.2955261221431, ""release_rate"": 0.18079339834383787, ""tumor_growth_rate"": 0.04337391103692294, ""uptake_rate"": 0.022391898744243688}",-110.247918823,final tumor volume exceeds the initial tumor volume.,Treatment failure
1015,"{""drug_diffusion"": 2.798432366278982e-09, ""drug_efficacy"": 0.37659162280033565, ""drug_loading"": 0.9946921240126703, ""np_diffusion"": 9.624918599114635e-09, ""particle_size_nm"": 175.58829680955256, ""release_rate"": 0.017372547367638564, ""tumor_growth_rate"": 0.013305706680637791, ""uptake_rate"": 0.09249446977563618}",-39.4190434675,final tumor volume exceeds the initial tumor volume.,Treatment failure
1016,"{""drug_diffusion"": 3.1459327263869125e-10, ""drug_efficacy"": 0.40830347960436236, ""drug_loading"": 0.9618838258890479, ""np_diffusion"": 9.753123265567518e-09, ""particle_size_nm"": 189.00075201411337, ""release_rate"": 0.16604160439482793, ""tumor_growth_rate"": 0.03985852009876512, ""uptake_rate"": 0.02935204604617491}",-211.639447299,final tumor volume exceeds the initial tumor volume.,Treatment failure
1017,"{""drug_diffusion"": 1.0972877503796802e-09, ""drug_efficacy"": 0.8915681910057645, ""drug_loading"": 0.668182648892452, ""np_diffusion"": 4.845002537550666e-10, ""particle_size_nm"": 177.6269694894689, ""release_rate"": 0.026961762204285686, ""tumor_growth_rate"": 0.04456104752210546, ""uptake_rate"": 0.07662480525713442}",-284.639357537,final tumor volume exceeds the initial tumor volume.,Treatment failure
1019,"{""drug_diffusion"": 5.14668031089124e-09, ""drug_efficacy"": 0.44715144217970687, ""drug_loading"": 0.3171559685124645, ""np_diffusion"": 4.8795369274554945e-09, ""particle_size_nm"": 135.30271542153426, ""release_rate"": 0.011407460619113251, ""tumor_growth_rate"": 0.049659355951052364, ""uptake_rate"": 0.012570389545190196}",-1093.81567423,final tumor volume exceeds the initial tumor volume.,Treatment failure
1020,"{""drug_diffusion"": 1.7851429372641292e-09, ""drug_efficacy"": 0.8135622230367971, ""drug_loading"": 0.9392188526875123, ""np_diffusion"": 8.694774449090777e-09, ""particle_size_nm"": 23.68340663137609, ""release_rate"": 0.027247854994092005, ""tumor_growth_rate"": 0.04381586337831957, ""uptake_rate"": 0.03726402072754911}",-241.429000441,final tumor volume exceeds the initial tumor volume.,Treatment failure
1023,"{""drug_diffusion"": 6.15588883619991e-09, ""drug_efficacy"": 0.3693105027508708, ""drug_loading"": 0.2134633055324001, ""np_diffusion"": 7.101241545269794e-10, ""particle_size_nm"": 180.76983886092714, ""release_rate"": 0.02707630163155579, ""tumor_growth_rate"": 0.01173061152462534, ""uptake_rate"": 0.09397282531814968}",-6.16939745032,final tumor volume exceeds the initial tumor volume.,Treatment failure
