Sample Number,Parameter Values,Tumor Reduction,Reason For Rejection,Rejection Category
100,"{""drug_diffusion"": 8.632752677945834e-09, ""drug_efficacy"": 0.3593939009278545, ""drug_loading"": 0.22424965573229244, ""np_diffusion"": 2.7074966240528622e-09, ""particle_size_nm"": 48.760408068626894, ""release_rate"": 0.02893114484392112, ""tumor_growth_rate"": 0.038056595629047556, ""uptake_rate"": 0.013339300509368258}",-602.915603314,final tumor volume exceeds the initial tumor volume.,Treatment failure
101,"{""drug_diffusion"": 3.6244987299478347e-09, ""drug_efficacy"": 0.3388629499670954, ""drug_loading"": 0.5055551094939688, ""np_diffusion"": 6.564896281504791e-09, ""particle_size_nm"": 43.57396859912083, ""release_rate"": 0.034186845579280846, ""tumor_growth_rate"": 0.014036678490719176, ""uptake_rate"": 0.015109092689169896}",-5.46029854861,final tumor volume exceeds the initial tumor volume.,Treatment failure
103,"{""drug_diffusion"": 3.8901368496592694e-10, ""drug_efficacy"": 0.7300881919776259, ""drug_loading"": 0.21558439212217045, ""np_diffusion"": 5.748436111584833e-09, ""particle_size_nm"": 179.78863183189026, ""release_rate"": 0.03502371569852766, ""tumor_growth_rate"": 0.04394652379790077, ""uptake_rate"": 0.02241101393200961}",-221.370342879,final tumor volume exceeds the initial tumor volume.,Treatment failure
104,"{""drug_diffusion"": 9.681656133989177e-09, ""drug_efficacy"": 0.9892583084866389, ""drug_loading"": 0.6520396447994115, ""np_diffusion"": 4.900858362617848e-09, ""particle_size_nm"": 39.2831276219369, ""release_rate"": 0.01330646647966806, ""tumor_growth_rate"": 0.03322599039152628, ""uptake_rate"": 0.0374754763813862}",-128.87413418,final tumor volume exceeds the initial tumor volume.,Treatment failure
106,"{""drug_diffusion"": 9.565889024048971e-09, ""drug_efficacy"": 0.32196646679067564, ""drug_loading"": 0.7831489071824245, ""np_diffusion"": 7.040635367513089e-09, ""particle_size_nm"": 62.8725333653373, ""release_rate"": 0.1771325755145281, ""tumor_growth_rate"": 0.022351258905231104, ""uptake_rate"": 0.01406122630426804}",-21.0598523567,final tumor volume exceeds the initial tumor volume.,Treatment failure
108,"{""drug_diffusion"": 1.5833015331870714e-09, ""drug_efficacy"": 0.33979336914896924, ""drug_loading"": 0.7221668984019587, ""np_diffusion"": 6.75726071449968e-10, ""particle_size_nm"": 83.23017832868013, ""release_rate"": 0.011825389694759957, ""tumor_growth_rate"": 0.0476615787994613, ""uptake_rate"": 0.04581250107441132}",-1236.89962727,final tumor volume exceeds the initial tumor volume.,Treatment failure
109,"{""drug_diffusion"": 9.504465986041798e-10, ""drug_efficacy"": 0.3721059500888422, ""drug_loading"": 0.49451616899026174, ""np_diffusion"": 9.921103096568648e-09, ""particle_size_nm"": 121.0213074719157, ""release_rate"": 0.1070261907185313, ""tumor_growth_rate"": 0.03742518962158196, ""uptake_rate"": 0.010967340477623587}",-224.62445863,final tumor volume exceeds the initial tumor volume.,Treatment failure
111,"{""drug_diffusion"": 9.963710275228728e-09, ""drug_efficacy"": 0.49435018025701283, ""drug_loading"": 0.48464982504038967, ""np_diffusion"": 3.664865217351252e-09, ""particle_size_nm"": 199.88999234978704, ""release_rate"": 0.1343857453331069, ""tumor_growth_rate"": 0.04602026853659759, ""uptake_rate"": 0.033844006971391366}",-243.726470411,final tumor volume exceeds the initial tumor volume.,Treatment failure
116,"{""drug_diffusion"": 2.3422251968254447e-10, ""drug_efficacy"": 0.676808348894468, ""drug_loading"": 0.8406048968969675, ""np_diffusion"": 7.418916642608882e-09, ""particle_size_nm"": 29.418337261910672, ""release_rate"": 0.19925339206673437, ""tumor_growth_rate"": 0.04913164483499626, ""uptake_rate"": 0.042509164266690984}",-67.2149861476,final tumor volume exceeds the initial tumor volume.,Treatment failure
119,"{""drug_diffusion"": 9.746290981620126e-09, ""drug_efficacy"": 0.62966893598815, ""drug_loading"": 0.5146085862830105, ""np_diffusion"": 1.454094428709063e-09, ""particle_size_nm"": 78.27355796450527, ""release_rate"": 0.013744058335027237, ""tumor_growth_rate"": 0.0463397082290028, ""uptake_rate"": 0.09395870431001865}",-850.888612695,final tumor volume exceeds the initial tumor volume.,Treatment failure
120,"{""drug_diffusion"": 2.8088945106087117e-09, ""drug_efficacy"": 0.30585612088343217, ""drug_loading"": 0.9579901737050627, ""np_diffusion"": 9.21687067674236e-09, ""particle_size_nm"": 194.23457050298344, ""release_rate"": 0.18960887176494853, ""tumor_growth_rate"": 0.030255959002435565, ""uptake_rate"": 0.09579871568004496}",-161.404433134,final tumor volume exceeds the initial tumor volume.,Treatment failure
